rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
689,63,20100219,SMAN 24 JAKARTA ,"523,922",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
690,-,50103170,SMAS SARASWATI ,"523,910",Prov. Bali,Kota Denpasar,SMA
691,72,20554539,SMAS BRAWIJAYA SMART SCHOOL ,"523,839",Prov. Jawa Timur,Kota Malang,SMA
692,-372,10502884,SMAN TITIAN TERAS ,"523,765",Prov. Jambi,Kab. Muaro Jambi,SMA
693,189,20322741,SMA NEGERI 1 SUBAH ,"523,759",Prov. Jawa Tengah,Kab. Batang,SMA
694,-,20362828,MAN 2 CILACAP ,"523,725",Prov. Jawa Tengah,Kab. Cilacap,MA
695,162,20330346,SMAS AL ISLAM 1 SURAKARTA ,"523,688",Prov. Jawa Tengah,Kota Surakarta,SMA
696,213,20509317,SMAN 1 MAOSPATI ,"523,516",Prov. Jawa Timur,Kab. Magetan,SMA
697,-327,20501702,SMAN 2 SIDOARJO ,"523,502",Prov. Jawa Timur,Kab. Sidoarjo,SMA
698,-90,20223040,SMAN 9 BEKASI ,"523,485",Prov. Jawa Barat,Kota Bekasi,SMA
699,201,50103126,SMAN 2 DENPASAR ,"523,477",Prov. Bali,Kota Denpasar,SMA
700,73,20401193,SMKN 1 DEPOK ,"523,425",Prov. D.I. Yogyakarta,Kab. Sleman,SMK
701,69,20523826,SMAN 4 JEMBER ,"523,285",Prov. Jawa Timur,Kab. Jember,SMA
702,-4,20320241,SMA NEGERI 2 UNGARAN ,"523,276",Prov. Jawa Tengah,Kab. Semarang,SMA
703,-,20229147,SMAS BINTARA DEPOK ,"523,197",Prov. Jawa Barat,Kota Depok,SMA
704,275,20309691,SMKN 1 KLATEN ,"523,138",Prov. Jawa Tengah,Kab. Klaten,SMK
705,-,20411884,MAN 2 KULON PROGO ,"523,134",Prov. D.I. Yogyakarta,Kab. Kulon Progo,MA
706,-199,20321448,SMK NEGERI 2 TEMANGGUNG ,"523,127",Prov. Jawa Tengah,Kab. Temanggung,SMK
707,91,20327586,SMKN 2 MAGELANG ,"523,112",Prov. Jawa Tengah,Kota Magelang,SMK
708,-14,20584134,MAN 1 BLITAR ,"523,111",Prov. Jawa Timur,Kab. Blitar,MA
709,73,20310420,SMAN 2 SUKOHARJO ,"523,104",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
710,-75,20363221,MAS PPMI ASSALAAM ,"523,102",Prov. Jawa Tengah,Kab. Sukoharjo,MA
711,-120,20400416,SMK NEGERI 1 BANTUL ,"523,085",Prov. D.I. Yogyakarta,Kab. Bantul,SMK
712,-,20402795,SMA NEGERI 1 TEMON ,"523,048",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
713,-,60725017,MAN 10 JAKARTA ,"523,024",Prov. D.K.I. Jakarta,Kota Jakarta Barat,MA
714,23,20215991,SMAN 1 SINDANG ,"522,980",Prov. Jawa Barat,Kab. Indramayu,SMA
715,-86,20219247,SMAN 25 BANDUNG ,"522,956",Prov. Jawa Barat,Kota Bandung,SMA
716,-170,10497552,SMA IT AL ITTIHAD ,"522,870",Prov. Riau,Kota Pekanbaru,SMA
717,265,20533816,SMKN 4 MALANG ,"522,857",Prov. Jawa Timur,Kota Malang,SMK
718,-,20100218,SMAN 20 JAKARTA ,"522,854",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
719,-79,20330332,SMKN 1 KEBUMEN ,"522,833",Prov. Jawa Tengah,Kab. Kebumen,SMK
720,-195,20219238,SMAN 15 BANDUNG ,"522,722",Prov. Jawa Barat,Kota Bandung,SMA
721,-261,20220334,SMAN 4 BOGOR ,"522,719",Prov. Jawa Barat,Kota Bogor,SMA
722,-,20331830,SMKS FARMASI NASIONAL SURAKARTA ,"522,608",Prov. Jawa Tengah,Kota Surakarta,SMK
723,-,20505026,SMKN 1 TUBAN ,"522,594",Prov. Jawa Timur,Kab. Tuban,SMK
724,4,69943715,SMA AL ADZKAR ,"522,525",Prov. Banten,Kota Tangerang Selatan,SMA
725,-202,20306806,SMA NEGERI 2 WONOSOBO ,"522,525",Prov. Jawa Tengah,Kab. Wonosobo,SMA
726,-88,20303246,SMAN 2 PURBALINGGA ,"522,473",Prov. Jawa Tengah,Kab. Purbalingga,SMA
727,-,20223136,SMKN 1 KOTA BEKASI ,"522,423",Prov. Jawa Barat,Kota Bekasi,SMK
728,-12,20325279,SMAN 3 SLAWI ,"522,358",Prov. Jawa Tengah,Kab. Tegal,SMA
729,-32,20219240,SMAN 13 BANDUNG ,"522,331",Prov. Jawa Barat,Kota Bandung,SMA
730,-,20231308,SMAS KORNITA ,"522,299",Prov. Jawa Barat,Kab. Bogor,SMA
731,-364,20305025,SMAN 2 KEBUMEN ,"522,250",Prov. Jawa Tengah,Kab. Kebumen,SMA
732,-181,50101121,SMAN 1 TABANAN ,"522,154",Prov. Bali,Kab. Tabanan,SMA
733,83,20502724,SMAN 1 MOJOSARI ,"522,150",Prov. Jawa Timur,Kab. Mojokerto,SMA
734,187,20305026,SMAN 1 PREMBUN ,"522,134",Prov. Jawa Tengah,Kab. Kebumen,SMA
735,-,10901156,SMKN 1 PANGKALPINANG ,"522,114",Prov. Kepulauan Bangka Belitung,Kota Pangkalpinang,SMK
736,-,20584616,MAN SIDOARJO ,"522,014",Prov. Jawa Timur,Kab. Sidoarjo,MA
737,-27,50101696,SMAN 1 KUTA UTARA ,"521,957",Prov. Bali,Kab. Badung,SMA
738,231,20508468,SMKN 1 NGAWI ,"521,946",Prov. Jawa Timur,Kab. Ngawi,SMK
739,-,20275048,SMAN 16 BEKASI ,"521,907",Prov. Jawa Barat,Kota Bekasi,SMA
740,-,20501695,SMKN 2 BUDURAN ,"521,820",Prov. Jawa Timur,Kab. Sidoarjo,SMK
741,-2,20323503,SMA NEGERI 1 WIRADESA ,"521,803",Prov. Jawa Tengah,Kab. Pekalongan,SMA
742,-347,20322744,SMA NEGERI 1 BATANG ,"521,656",Prov. Jawa Tengah,Kab. Batang,SMA
743,91,20229150,SMAS CAKRA BUANA ,"521,650",Prov. Jawa Barat,Kota Depok,SMA
744,-,20219277,SMAS YAS BANDUNG ,"521,633",Prov. Jawa Barat,Kota Bandung,SMA
745,4,20519303,SMAN 1 BANGIL ,"521,617",Prov. Jawa Timur,Kab. Pasuruan,SMA
746,-16,20219257,SMAN 10 BANDUNG ,"521,608",Prov. Jawa Barat,Kota Bandung,SMA
747,-,20531146,SMAN 1 BANGKALAN ,"521,506",Prov. Jawa Timur,Kab. Bangkalan,SMA
748,-,50103632,SMAN 8 DENPASAR ,"521,493",Prov. Bali,Kota Denpasar,SMA
749,-,20317499,SMKN 1 KUDUS ,"521,486",Prov. Jawa Tengah,Kab. Kudus,SMK
750,-45,20107306,SMAS ISLAM AL-AZHAR 3 JAKARTA ,"521,480",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
751,-,20533813,SMKN 1 MALANG ,"521,449",Prov. Jawa Timur,Kota Malang,SMK
752,43,10303090,SMA N 1 PASAMAN ,"521,359",Prov. Sumatera Barat,Kab. Pasaman Barat,SMA
753,-83,20320244,SMA NEGERI 1 TENGARAN ,"521,348",Prov. Jawa Tengah,Kab. Semarang,SMA
754,-,10263753,MAS KMI DINIYAH PUTERI ,"521,270",Prov. Sumatera Barat,Kota Padang Panjang,MA
755,-322,20532232,SMAN 21 SURABAYA ,"521,269",Prov. Jawa Timur,Kota Surabaya,SMA
756,-136,20107289,SMA CHARITAS ,"521,252",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
757,7,20403144,SMAS SANTA MARIA ,"521,190",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
758,-,20231717,SMAS NASIONAL 1 ,"521,157",Prov. Jawa Barat,Kota Bekasi,SMA
759,-,20238003,SMAS AL - MUSLIM ,"521,129",Prov. Jawa Barat,Kab. Bekasi,SMA
760,-133,30304280,SMAN 1 BANJARMASIN ,"521,104",Prov. Kalimantan Selatan,Kota Banjarmasin,SMA
761,-34,10303781,SMAN 1 SOLOK ,"521,019",Prov. Sumatera Barat,Kota Solok,SMA
762,-,20220316,SMAS PESAT ,"520,882",Prov. Jawa Barat,Kota Bogor,SMA
763,-291,20313845,SMAN 1 PURWODADI ,"520,838",Prov. Jawa Tengah,Kab. Grobogan,SMA
764,-,20510100,SMKN 1 PONOROGO ,"520,812",Prov. Jawa Timur,Kab. Ponorogo,SMK
765,-230,20613768,SMAN 6 KOTA TANGERANG SELATAN ,"520,725",Prov. Banten,Kota Tangerang Selatan,SMA
766,-155,20403295,SMKN 7 YOGYAKARTA ,"520,693",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMK
767,-,20514351,SMAN 1 GARUM ,"520,692",Prov. Jawa Timur,Kab. Blitar,SMA
768,-,20331899,SMA DON BOSKO ,"520,660",Prov. Jawa Tengah,Kota Semarang,SMA
769,185,20218378,SMAN 1 CIKARANG SELATAN ,"520,629",Prov. Jawa Barat,Kab. Bekasi,SMA
770,-149,20224112,SMA NEGERI 5 CIMAHI ,"520,627",Prov. Jawa Barat,Kota Cimahi,SMA
771,-,20101605,SMAN 56 JAKARTA ,"520,562",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
772,-184,20521711,SMAN 2 BONDOWOSO ,"520,540",Prov. Jawa Timur,Kab. Bondowoso,SMA
773,-,10203537,SMAN 1 SIDIKALANG ,"520,492",Prov. Sumatera Utara,Kab. Dairi,SMA
774,-,20107589,SMAS GLOBAL ISLAMIC SCHOOL ,"520,481",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
775,44,20101583,SMAN 96 JAKARTA ,"520,430",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
776,-,20534385,SMA NEGERI 5 TARUNA BRAWIJAYA JAWA TIMUR ,"520,416",Prov. Jawa Timur,Kota Kediri,SMA
777,190,20532211,SMKN 5 SURABAYA ,"520,415",Prov. Jawa Timur,Kota Surabaya,SMK
778,185,20517732,SMAN 1 PAGAK ,"520,388",Prov. Jawa Timur,Kab. Malang,SMA
779,-,20328910,SMA NEGERI 13 ,"520,375",Prov. Jawa Tengah,Kota Semarang,SMA
780,-,69972822,SMA IT ADZKIA ,"520,367",Prov. Jawa Barat,Kab. Sukabumi,SMA
781,-81,30401058,SMA Negeri 3 Samarinda ,"520,322",Prov. Kalimantan Timur,Kota Samarinda,SMA
782,-,20102587,SMKN 20 JAKARTA ,"520,215",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMK
783,-,69872144,SMAN 19 BATAM ,"520,127",Prov. Kepulauan Riau,Kota Batam,SMA
784,118,20100779,SMAN 75 JAKARTA ,"520,094",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
785,-,20504480,SMAN 4 BOJONEGORO ,"520,017",Prov. Jawa Timur,Kab. Bojonegoro,SMA
786,-177,10303610,SMAN 2 PADANG PANJANG ,"519,871",Prov. Sumatera Barat,Kota Padang Panjang,SMA
787,-,20607924,SMAN 15 TANGERANG ,"519,838",Prov. Banten,Kota Tangerang,SMA
788,-,20177956,MAN 8 JAKARTA ,"519,837",Prov. D.K.I. Jakarta,Kota Jakarta Timur,MA
789,-105,20534383,SMAN 7 KEDIRI ,"519,805",Prov. Jawa Timur,Kota Kediri,SMA
790,75,20318339,SMA NEGERI 1 PECANGAAN ,"519,776",Prov. Jawa Tengah,Kab. Jepara,SMA
791,-,20532118,SMAS TRI MURTI SURABAYA ,"519,746",Prov. Jawa Timur,Kota Surabaya,SMA
792,-,20538325,SMAN 1 TANJUNGANOM ,"519,739",Prov. Jawa Timur,Kab. Nganjuk,SMA
793,-,30403011,SMAS SF Assisi Samarinda ,"519,701",Prov. Kalimantan Timur,Kota Samarinda,SMA
794,84,11000434,SMAN 2 TANJUNGPINANG ,"519,644",Prov. Kepulauan Riau,Kota Tanjungpinang,SMA
795,-390,20606847,SMAN 3 TANGERANG ,"519,637",Prov. Banten,Kota Tangerang,SMA
796,-,20363180,MAN PURBALINGGA ,"519,632",Prov. Jawa Tengah,Kab. Purbalingga,MA
797,-,20339024,SMA NEGERI 3 PATI ,"519,611",Prov. Jawa Tengah,Kab. Pati,SMA
798,-,20219145,SMKN 3 BANDUNG ,"519,566",Prov. Jawa Barat,Kota Bandung,SMK
799,-294,20506254,SMA NEGERI 2 LAMONGAN ,"519,530",Prov. Jawa Timur,Kab. Lamongan,SMA
800,-,20317493,SMAN 1 JEKULO KUDUS ,"519,462",Prov. Jawa Tengah,Kab. Kudus,SMA
801,-217,20219239,SMAN 14 BANDUNG ,"519,437",Prov. Jawa Barat,Kota Bandung,SMA
802,-,20253307,SMKN 3 KOTA BEKASI ,"519,424",Prov. Jawa Barat,Kota Bekasi,SMK
803,-,20224540,SMA AL MUTTAQIN ,"519,152",Prov. Jawa Barat,Kota Tasikmalaya,SMA
804,135,69933838,SMA IT FITHRAH INSANI ,"519,121",Prov. Jawa Barat,Kab. Bandung Barat,SMA
805,108,20523845,SMAN 1 KENCONG ,"519,101",Prov. Jawa Timur,Kab. Jember,SMA
806,2,20311307,SMAN 1 BATURETNO ,"519,078",Prov. Jawa Tengah,Kab. Wonogiri,SMA
807,187,20613785,SMAN 23 KABUPATEN TANGERANG ,"519,049",Prov. Banten,Kab. Tangerang,SMA
808,-47,10404022,SMAS SANTA MARIA ,"518,987",Prov. Riau,Kota Pekanbaru,SMA
809,-,10219919,SMAS HARAPAN 3 DELI TUA ,"518,971",Prov. Sumatera Utara,Kab. Deli Serdang,SMA
810,-,20103293,SMAN 102 JAKARTA ,"518,935",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
811,-22,20303240,SMKN 1 PURBALINGGA ,"518,922",Prov. Jawa Tengah,Kab. Purbalingga,SMK
812,-,50103179,SMAS KRISTEN HARAPAN ,"518,910",Prov. Bali,Kota Denpasar,SMA
813,-190,20529954,SMAN 1 SUMENEP ,"518,889",Prov. Jawa Timur,Kab. Sumenep,SMA
814,-58,30405623,SMAN 2 SANGATTA UTARA ,"518,888",Prov. Kalimantan Timur,Kab. Kutai Timur,SMA
815,117,50203310,SMAN 1 SUMBAWA BESAR ,"518,847",Prov. Nusa Tenggara Barat,Kab. Sumbawa,SMA
816,-292,20511953,SMAN 1 PARE ,"518,787",Prov. Jawa Timur,Kab. Kediri,SMA
817,-157,20402817,SMK N 2 PENGASIH ,"518,753",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMK
818,18,20402124,SMAN 1 KARANGMOJO ,"518,724",Prov. D.I. Yogyakarta,Kab. Gunung Kidul,SMA
819,-243,20324218,SMAN 1 COMAL ,"518,692",Prov. Jawa Tengah,Kab. Pemalang,SMA
820,-405,20220335,SMAN 6 BOGOR ,"518,615",Prov. Jawa Barat,Kota Bogor,SMA
821,-,20229175,SMAS SEJAHTERA 1 DEPOK ,"518,602",Prov. Jawa Barat,Kota Depok,SMA
822,-,20364979,MAS AL HIKMAH 2 ,"518,565",Prov. Jawa Tengah,Kab. Brebes,MA
823,31,30105075,SMAS GEMBALA BAIK PONTIANAK ,"518,556",Prov. Kalimantan Barat,Kota Pontianak,SMA
824,-,20107320,SMAN 79 JAKARTA ,"518,537",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
825,113,20231719,SMAN 13 BEKASI ,"518,528",Prov. Jawa Barat,Kota Bekasi,SMA
826,-,10303504,SMAN 7 PADANG ,"518,475",Prov. Sumatera Barat,Kota Padang,SMA
827,-,10211680,SMAS KALAM KUDUS ,"518,450",Prov. Sumatera Utara,Kota Pematangsiantar,SMA
828,-,50105492,SMAN BALI MANDARA ,"518,441",Prov. Bali,Kab. Buleleng,SMA
829,-,20206214,SMKN 1 KATAPANG ,"518,416",Prov. Jawa Barat,Kab. Bandung,SMK
830,-29,20321835,SMAN 1 SUKOREJO ,"518,409",Prov. Jawa Tengah,Kab. Kendal,SMA
831,-9,20403280,SMKN 2 YOGYAKARTA ,"518,409",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMK
832,-32,20222311,SMAN 6 CIREBON ,"518,396",Prov. Jawa Barat,Kota Cirebon,SMA
833,-71,20551724,SMAN 1 SUTOJAYAN ,"518,378",Prov. Jawa Timur,Kab. Blitar,SMA
834,34,69893110,SMA DAARUT TAUHIID BOARDING SCHOOL ,"518,369",Prov. Jawa Barat,Kab. Bandung Barat,SMA
835,-90,20302168,SMAN 4 PURWOKERTO ,"518,367",Prov. Jawa Tengah,Kab. Banyumas,SMA
836,-,20321429,SMA NEGERI 1 CANDIROTO ,"518,358",Prov. Jawa Tengah,Kab. Temanggung,SMA
837,-433,20216938,SMAN 1 SUBANG ,"518,274",Prov. Jawa Barat,Kab. Subang,SMA
838,-171,20525855,SMAN 1 GIRI ,"518,118",Prov. Jawa Timur,Kab. Banyuwangi,SMA
839,49,20102580,SMK NEGERI 41 JAKARTA ,"518,085",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMK
840,-118,20321974,SMAN 1 BOJA ,"518,068",Prov. Jawa Tengah,Kab. Kendal,SMA
841,-,10508041,MAN 1 KOTA LUBUK LINGGAU ,"518,022",Prov. Sumatera Selatan,Kota Lubuk Linggau,MA
842,-128,50103122,SMAN 5 DENPASAR ,"518,017",Prov. Bali,Kota Denpasar,SMA
843,-,60725005,MAN 12 JAKARTA ,"517,988",Prov. D.K.I. Jakarta,Kota Jakarta Barat,MA
844,-,40306507,SMAS KRISTEN BARANA ,"517,985",Prov. Sulawesi Selatan,Kab. Toraja Utara,SMA
845,-,69954194,SMA ISLAM AL - AZHAR 18 GRAND WISATA ,"517,954",Prov. Jawa Barat,Kab. Bekasi,SMA
846,-,20103230,SMAS ISLAM PB SOEDIRMAN ,"517,762",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
847,127,20362931,MAN 1 JEPARA ,"517,690",Prov. Jawa Tengah,Kab. Jepara,MA
848,-,20270776,SMAN 2 GUNUNG PUTRI ,"517,677",Prov. Jawa Barat,Kab. Bogor,SMA
849,-2,20580038,MAN KOTA BATU ,"517,569",Prov. Jawa Timur,Kota Batu,MA
850,-79,20308441,SMAN 1 TERAS ,"517,514",Prov. Jawa Tengah,Kab. Boyolali,SMA
851,-,20219146,SMKN 2 BANDUNG ,"517,501",Prov. Jawa Barat,Kota Bandung,SMK
852,-3,20584211,MAN 1 MALANG ,"517,498",Prov. Jawa Timur,Kab. Malang,MA
853,-372,50102779,SMAN 2 AMLAPURA ,"517,458",Prov. Bali,Kab. Karang Asem,SMA
854,-,20219144,SMKN 4 BANDUNG ,"517,457",Prov. Jawa Barat,Kota Bandung,SMK
855,-,20525861,SMAN 1 ROGOJAMPI ,"517,431",Prov. Jawa Timur,Kab. Banyuwangi,SMA
856,133,20315695,SMA NEGERI 1 LASEM ,"517,428",Prov. Jawa Tengah,Kab. Rembang,SMA
857,-,20220321,SMAS KOSGORO ,"517,420",Prov. Jawa Barat,Kota Bogor,SMA
858,48,20330282,SMAN 1 KARANGANYAR ,"517,406",Prov. Jawa Tengah,Kab. Kebumen,SMA
859,-,20504487,SMAN 1 PADANGAN ,"517,403",Prov. Jawa Timur,Kab. Bojonegoro,SMA
860,-45,20305011,SMAN 1 KLIRONG ,"517,398",Prov. Jawa Tengah,Kab. Kebumen,SMA
861,-199,50101705,SMAN 1 KUTA ,"517,365",Prov. Bali,Kab. Badung,SMA
862,-,20229174,SMA PUTRA BANGSA ,"517,352",Prov. Jawa Barat,Kota Depok,SMA
863,99,20177959,MAN 2 JAKARTA ,"517,330",Prov. D.K.I. Jakarta,Kota Jakarta Timur,MA
864,-374,20220338,SMAN 9 BOGOR ,"517,300",Prov. Jawa Barat,Kota Bogor,SMA
865,-,20308445,SMAN 1 NGEMPLAK ,"517,283",Prov. Jawa Tengah,Kab. Boyolali,SMA
866,-,20510134,SMAN 1 BADEGAN ,"517,278",Prov. Jawa Timur,Kab. Ponorogo,SMA
867,76,20303942,SMKN 1 BAWANG ,"517,231",Prov. Jawa Tengah,Kab. Banjarnegara,SMK
868,-,20517731,SMAN 1 NGANTANG ,"517,219",Prov. Jawa Timur,Kab. Malang,SMA
869,-,20220327,SMAS INSAN KAMIL ,"517,111",Prov. Jawa Barat,Kota Bogor,SMA
870,-119,20318318,SMK NEGERI 3 JEPARA ,"517,035",Prov. Jawa Tengah,Kab. Jepara,SMK
871,-,20306173,SMAN 5 PURWOREJO ,"516,951",Prov. Jawa Tengah,Kab. Purworejo,SMA
872,-,20109246,SMKN 62 JAKARTA ,"516,939",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMK
873,-,10404013,SMA NEGERI 2 PEKANBARU ,"516,925",Prov. Riau,Kota Pekanbaru,SMA
874,82,20363271,MAS ALI MAKSUM ,"516,912",Prov. D.I. Yogyakarta,Kab. Bantul,MA
875,-321,10900232,SMAN 1 SUNGAI LIAT ,"516,862",Prov. Kepulauan Bangka Belitung,Kab. Bangka,SMA
876,-,69866096,SMA AL MINHAJ ,"516,846",Prov. Jawa Barat,Kab. Bogor,SMA
877,-390,20218379,SMAN 2 TAMBUN SELATAN ,"516,838",Prov. Jawa Barat,Kab. Bekasi,SMA
878,105,20623136,SMAS ISLAM TERPADU ALIA TANGERANG ,"516,825",Prov. Banten,Kab. Tangerang,SMA
879,-215,20319280,SMAN 1 DEMAK ,"516,781",Prov. Jawa Tengah,Kab. Demak,SMA
880,-1,20312189,SMAN 2 KARANGANYAR ,"516,761",Prov. Jawa Tengah,Kab. Karanganyar,SMA
881,-48,20325258,SMKN 1 SLAWI ,"516,742",Prov. Jawa Tengah,Kab. Tegal,SMK
882,83,20603346,SMAS ISLAMIC VILLAGE ,"516,726",Prov. Banten,Kab. Tangerang,SMA
883,-,20511958,SMAN 1 KANDAT ,"516,704",Prov. Jawa Timur,Kab. Kediri,SMA
884,45,10303501,SMAN 4 PADANG ,"516,704",Prov. Sumatera Barat,Kota Padang,SMA
885,-164,20363035,MAN SALATIGA ,"516,673",Prov. Jawa Tengah,Kota Salatiga,MA
886,-,20309688,SMAN 1 WONOSARI ,"516,670",Prov. Jawa Tengah,Kab. Klaten,SMA
887,-,20224109,SMA NEGERI 4 CIMAHI ,"516,667",Prov. Jawa Barat,Kota Cimahi,SMA
888,-,20400396,SMA PANGUDI LUHUR SEDAYU ,"516,637",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
889,-,20532233,SMAN 22 SURABAYA ,"516,635",Prov. Jawa Timur,Kota Surabaya,SMA
890,-17,30401059,SMA Negeri 2 Samarinda ,"516,585",Prov. Kalimantan Timur,Kota Samarinda,SMA
891,-,10210853,SMAN 2 MEDAN ,"516,512",Prov. Sumatera Utara,Kota Medan,SMA
892,-,20274909,SMAS ISTIQAMAH ,"516,490",Prov. Jawa Barat,Kota Bandung,SMA
893,-246,20310418,SMAN 1 TAWANGSARI ,"516,460",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
894,-165,20231720,SMAN 14 BEKASI ,"516,437",Prov. Jawa Barat,Kota Bekasi,SMA
895,-295,20312172,SMAN KEBAKKRAMAT ,"516,354",Prov. Jawa Tengah,Kab. Karanganyar,SMA
896,-,69984672,SMAIT NURUL ILMI ,"516,350",Prov. Jambi,Kota Jambi,SMA
897,-273,20300729,SMA NEGERI 1 SIDAREJA ,"516,307",Prov. Jawa Tengah,Kab. Cilacap,SMA
898,-71,69851425,SMA NEGERI 10 DEPOK ,"516,257",Prov. Jawa Barat,Kota Depok,SMA
899,-200,20532261,SMAN 7 SURABAYA ,"516,210",Prov. Jawa Timur,Kota Surabaya,SMA
900,-,69918146,SMAN 4 CIBINONG ,"516,172",Prov. Jawa Barat,Kab. Bogor,SMA
901,-209,10201985,SMA NEGERI 1 KABANJAHE ,"516,134",Prov. Sumatera Utara,Kab. Karo,SMA
902,-,20363220,MAS AL MUKMIN NGRUKI ,"516,094",Prov. Jawa Tengah,Kab. Sukoharjo,MA
903,-,69899184,SMA MUHAMMADIYAH 04 DEPOK ,"516,040",Prov. Jawa Barat,Kota Depok,SMA
904,-130,20219237,SMAN 16 BANDUNG ,"516,010",Prov. Jawa Barat,Kota Bandung,SMA
905,-216,20302183,SMA NEGERI 1 JATILAWANG ,"515,953",Prov. Jawa Tengah,Kab. Banyumas,SMA
906,-343,20307713,SMAN 1 MERTOYUDAN ,"515,879",Prov. Jawa Tengah,Kab. Magelang,SMA
907,-,20232466,SMKN 1 BOJONG GEDE ,"515,878",Prov. Jawa Barat,Kab. Bogor,SMK
908,-,20317564,SMKS RADEN UMAR SAID KUDUS ,"515,827",Prov. Jawa Tengah,Kab. Kudus,SMK
909,-129,20219178,SMKN 1 BANDUNG ,"515,817",Prov. Jawa Barat,Kota Bandung,SMK
910,-,11002198,SMAN 4 BATAM ,"515,763",Prov. Kepulauan Riau,Kota Batam,SMA
911,-254,20307727,SMAN 1 GRABAG ,"515,749",Prov. Jawa Tengah,Kab. Magelang,SMA
912,-341,20523828,SMAN AMBULU ,"515,737",Prov. Jawa Timur,Kab. Jember,SMA
913,-,69986644,SMAS ISLAM TERPADU ULIL ALBAB ,"515,700",Prov. Kepulauan Riau,Kota Batam,SMA
914,-,20300728,SMA NEGERI 2 CILACAP ,"515,690",Prov. Jawa Tengah,Kab. Cilacap,SMA
915,-,20517735,SMAN 1 SUMBERPUCUNG ,"515,660",Prov. Jawa Timur,Kab. Malang,SMA
916,-527,20217357,SMAN 1 PURWAKARTA ,"515,610",Prov. Jawa Barat,Kab. Purwakarta,SMA
917,-,20302173,SMAN 1 SOKARAJA ,"515,544",Prov. Jawa Tengah,Kab. Banyumas,SMA
918,-,20223042,SMAN 7 BEKASI ,"515,536",Prov. Jawa Barat,Kota Bekasi,SMA
919,-267,20224510,SMA Negeri 2 Tasikmalaya ,"515,527",Prov. Jawa Barat,Kota Tasikmalaya,SMA
920,-,20318342,SMA NEGERI 1 DONOROJO ,"515,462",Prov. Jawa Tengah,Kab. Jepara,SMA
921,-,50102078,SMAN 1 BLAHBATUH ,"515,460",Prov. Bali,Kab. Gianyar,SMA
922,-,20103791,SMKN 10 JAKARTA ,"515,454",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMK
923,-,20102230,SMAN 108 JAKARTA ,"515,307",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
924,-,20402809,SMA NEGERI 1 LENDAH ,"515,299",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
925,-,40310213,SMAS ISLAM ATHIRAH ,"515,283",Prov. Sulawesi Selatan,Kota Makassar,SMA
926,-188,20102597,SMKN 8 JAKARTA ,"515,248",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMK
927,-,20363187,MAN PURWOREJO ,"515,232",Prov. Jawa Tengah,Kab. Purworejo,MA
928,-,69774571,SMAS IT DARUT TAQWA ,"515,229",Prov. Jawa Timur,Kab. Ponorogo,SMA
929,66,20331953,SMAS MUHAMMADIYAH WONOSOBO ,"515,221",Prov. Jawa Tengah,Kab. Wonosobo,SMA
930,-,20511006,SMAN 1 NGADIROJO ,"515,204",Prov. Jawa Timur,Kab. Pacitan,SMA
931,-,20327973,SMAN 8 SURAKARTA ,"515,193",Prov. Jawa Tengah,Kota Surakarta,SMA
932,-,20511952,SMAN 1 PLEMAHAN ,"515,162",Prov. Jawa Timur,Kab. Kediri,SMA
933,-,10107310,SMAS LAB SCHOOL ,"515,138",Prov. Aceh,Kota Banda Aceh,SMA
934,-,20503372,SMK NEGERI 3 JOMBANG ,"515,118",Prov. Jawa Timur,Kab. Jombang,SMK
935,-,20100200,SMAN 7 JAKARTA ,"515,114",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
936,-,20227827,SMA TERPADU BAITURRAHMAN ,"515,111",Prov. Jawa Barat,Kab. Bandung,SMA
