rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
505,249,20102569,SMAN 74 JAKARTA ,"531,701",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
506,59,11002199,SMAN 5 BATAM ,"531,643",Prov. Kepulauan Riau,Kota Batam,SMA
507,205,69965701,SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO ,"531,593",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
508,-,20606502,SMAS ASY SYUKRIYAH ,"531,526",Prov. Banten,Kota Tangerang,SMA
509,-,20515429,SMAN 1 NGUNUT ,"531,382",Prov. Jawa Timur,Kab. Tulungagung,SMA
510,-,69977851,MA ISLAM TERPADU DARUL FIKRI ,"531,339",Prov. Jawa Timur,Kab. Sidoarjo,MA
511,-,70008990,SMA ISLAM AL AZHAR 22 ,"531,280",Prov. Jawa Barat,Kab. Bekasi,SMA
512,75,20224136,SMK NEGERI 1 CIMAHI ,"531,163",Prov. Jawa Barat,Kota Cimahi,SMK
513,-144,20200885,SMAN 1 CIBINONG ,"531,153",Prov. Jawa Barat,Kab. Bogor,SMA
514,241,20501700,SMAN 4 SIDOARJO ,"530,942",Prov. Jawa Timur,Kab. Sidoarjo,SMA
515,-181,20309684,SMAN 1 CAWAS ,"530,862",Prov. Jawa Tengah,Kab. Klaten,SMA
516,-,10210858,SMAN 5 MEDAN ,"530,858",Prov. Sumatera Utara,Kota Medan,SMA
517,-17,20219249,SMAN 23 BANDUNG ,"530,842",Prov. Jawa Barat,Kota Bandung,SMA
518,57,20522640,SMAN 1 SITUBONDO ,"530,801",Prov. Jawa Timur,Kab. Situbondo,SMA
519,-21,20300727,SMA NEGERI 3 CILACAP ,"530,714",Prov. Jawa Tengah,Kab. Cilacap,SMA
520,-259,20532244,SMAN 11 SURABAYA ,"530,701",Prov. Jawa Timur,Kota Surabaya,SMA
521,186,20219720,SMAS DARUL HIKAM BANDUNG ,"530,541",Prov. Jawa Barat,Kota Bandung,SMA
522,341,20517737,SMAN 1 TUREN ,"530,499",Prov. Jawa Timur,Kab. Malang,SMA
523,-44,20221561,SMAN 3 SUKABUMI ,"530,474",Prov. Jawa Barat,Kota Sukabumi,SMA
524,7,20339023,SMA NEGERI 2 PATI ,"530,461",Prov. Jawa Tengah,Kab. Pati,SMA
525,-170,10601344,SMAN 4 LAHAT ,"530,438",Prov. Sumatera Selatan,Kab. Lahat,SMA
526,-78,20501784,SMAN 1 KRIAN ,"530,390",Prov. Jawa Timur,Kab. Sidoarjo,SMA
527,153,20404175,SMAS PANGUDI LUHUR ,"530,344",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
528,-100,20280604,SMAS FUTURE GATE ,"530,321",Prov. Jawa Barat,Kota Bekasi,SMA
529,85,20102211,SMAN 43 JAKARTA ,"530,316",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
530,23,20401125,SMAN 1 SEYEGAN ,"530,296",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
531,-165,20223033,SMAN 2 BEKASI ,"530,258",Prov. Jawa Barat,Kota Bekasi,SMA
532,78,20103787,SMKN 26 JAKARTA ,"530,234",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMK
533,-80,20323399,SMA NEGERI 1 KEDUNGWUNI ,"530,205",Prov. Jawa Tengah,Kab. Pekalongan,SMA
534,-144,20222364,SMAN 1 CIREBON ,"530,188",Prov. Jawa Barat,Kota Cirebon,SMA
535,-,20532151,SMA KATOLIK ST LOUIS 2 ,"530,113",Prov. Jawa Timur,Kota Surabaya,SMA
536,22,20317501,SMAN 2 KUDUS ,"530,076",Prov. Jawa Tengah,Kab. Kudus,SMA
537,89,20277119,MAN 2 KOTA BOGOR ,"530,072",Prov. Jawa Barat,Kota Bogor,MA
538,84,20327971,SMAN 6 SURAKARTA ,"530,056",Prov. Jawa Tengah,Kota Surakarta,SMA
539,-,20402807,SMA NEGERI 1 KALIBAWANG ,"529,947",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
540,161,20309690,SMAN 3 KLATEN ,"529,911",Prov. Jawa Tengah,Kab. Klaten,SMA
541,-15,20103279,SMAN 9 JAKARTA ,"529,907",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
542,445,20400372,SMA NEGERI 1 SEDAYU ,"529,720",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
543,434,69757388,SMAS IT RAUDHATUL JANNAH  ,"529,669",Prov. Banten,Kota Cilegon,SMA
544,-28,20534122,SMAN 3 TARUNA ANGKASA MADIUN ,"529,663",Prov. Jawa Timur,Kota Madiun,SMA
545,245,50102081,SMAN 1 SUKAWATI ,"529,641",Prov. Bali,Kab. Gianyar,SMA
546,40,20532218,SMAN 18 SURABAYA ,"529,608",Prov. Jawa Timur,Kota Surabaya,SMA
547,42,10206580,SMAN 1 MATAULI PANDAN ,"529,591",Prov. Sumatera Utara,Kab. Tapanuli Tengah,SMA
548,1,20309681,SMAN 1 JOGONALAN ,"529,587",Prov. Jawa Tengah,Kab. Klaten,SMA
549,155,10211702,SMAN 4 PEMATANG SIANTAR ,"529,587",Prov. Sumatera Utara,Kota Pematangsiantar,SMA
550,190,20101621,SMAN 23 JAKARTA ,"529,577",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
551,122,20307677,SMAN 1 DUKUN ,"529,556",Prov. Jawa Tengah,Kab. Magelang,SMA
552,52,69961248,SMA IT PUTRI AL HANIF ,"529,543",Prov. Banten,Kota Cilegon,SMA
553,-260,20324216,SMAN 1 PEMALANG ,"529,488",Prov. Jawa Tengah,Kab. Pemalang,SMA
554,134,20503408,SMA NEGERI MOJOAGUNG ,"529,477",Prov. Jawa Timur,Kab. Jombang,SMA
555,-88,20508480,SMAN 1 NGAWI ,"529,476",Prov. Jawa Timur,Kab. Ngawi,SMA
556,340,10498808,MAN 1 PEKANBARU ,"529,442",Prov. Riau,Kota Pekanbaru,MA
557,354,50103117,SMKN 2 DENPASAR ,"529,376",Prov. Bali,Kota Denpasar,SMK
558,124,20606271,SMAN 2 KRAKATAU STEEL CILEGON ,"529,310",Prov. Banten,Kota Cilegon,SMA
559,-,20606542,SMAS BUDI LUHUR ,"529,308",Prov. Banten,Kota Tangerang,SMA
560,-19,20533803,SMKS TELKOM SANDHY PUTRA ,"529,279",Prov. Jawa Timur,Kota Malang,SMK
561,-,69992187,SMA AL WAFI IBS ,"529,263",Prov. Jawa Barat,Kab. Bogor,SMA
562,-,10210856,SMAN 3 MEDAN ,"529,189",Prov. Sumatera Utara,Kota Medan,SMA
563,-268,20605093,SMAN 1 KOTA SERANG ,"529,169",Prov. Banten,Kota Serang,SMA
564,-,20534120,SMAN 5 MADIUN ,"529,168",Prov. Jawa Timur,Kota Madiun,SMA
565,-,11003325,MAN BATAM ,"529,025",Prov. Kepulauan Riau,Kota Batam,MA
566,-,20100803,SMAN 111 JAKARTA ,"528,984",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
567,-,20623317,MAN 1 KOTA TANGERANG SELATAN ,"528,947",Prov. Banten,Kota Tangerang Selatan,MA
568,119,20223068,SMAS PANGUDI LUHUR II ,"528,847",Prov. Jawa Barat,Kota Bekasi,SMA
569,-125,20318343,SMA NEGERI 1 JEPARA ,"528,845",Prov. Jawa Tengah,Kab. Jepara,SMA
